INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
EARL'S ACADEMY OF BEAUTY,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
EASTERN ARIZONA COLLEGE,,,,THATCHER,,AZ,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GLENDALE COMMUNITY COLLEGE,,,,GLENDALE,,AZ,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
GRAND CANYON UNIVERSITY,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HIGH-TECH INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERNATIONAL ACADEMY OF HAIR DESIGN,,,,TEMPE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERSTATE CAREER COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LAMSON JUNIOR COLLEGE,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CLASSIC BEAUTY COLLEGE,,,,CHANDLER,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CLASSIC BEAUTY COLLEGE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CLASSIC BEAUTY COLLEGE,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
LONG MEDICAL INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
MARICOPA BEAUTY COLLEGE,,,,AVONDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GATEWAY COMMUNITY COLLEGE,,,,PHOENIX,,AZ,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
MESA COMMUNITY COLLEGE,,,,MESA,,AZ,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ITT TECHNICAL INSTITUTE,,,,TUCSON,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ITT TECHNICAL INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
MOHAVE COMMUNITY COLLEGE,,,,KINGMAN,,AZ,Public,Predominantly associate's-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
CLINTON TECHNICAL INSTITUTE-MOTORCYCLE MECH DIV,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
MUNDUS INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
NAVAJO COMMUNITY COLLEGE,,,,TSAILE,,AZ,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
NORTHERN ARIZONA UNIVERSITY,,,,FLAGSTAFF,,AZ,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHLAND PIONEER COLLEGE,,,,HOLBROOK,,AZ,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
OTTAWA UNIVERSITY-PHOENIX,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
PHOENIX ACADEMY OF BEAUTY,,,,GLENDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
PHOENIX COLLEGE,,,,PHOENIX,,AZ,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
PHOENIX THERAPEUTIC MASSAGE COLLEGE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,,,,PHOENIX,,AZ,Private for-profit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
PIMA COMMUNITY COLLEGE,,,,TUCSON,,AZ,Public,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
PIMA MEDICAL INSTITUTE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
PIMA MEDICAL INSTITUTE,,,,ALBUQUERQUE,,NM,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
PRESCOTT COLLEGE,,,,PRESCOTT,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
REFRIGERATION SCHOOL,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
RIO SALADO COMMUNITY COLLEGE,,,,TEMPE,,AZ,Public,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ROBERTO-VENN SCHOOL OF LUTHIERY,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
PARKS COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
SCOTTSDALE COMMUNITY COLLEGE,,,,SCOTTSDALE,,AZ,Public,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
SOUTH MOUNTAIN COMMUNITY COLLEGE,,,,PHOENIX,,AZ,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARIZONA PARALEGAL TRAINING PROGRAM,,,,PHOENIX,,AZ,Private for-profit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SOUTHWESTERN CONSERVATIVE BAPTIST BIBLE COLLEGE,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
TUCSON COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNITED ACADEMY OF BEAUTY,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSAL TECHNICAL INSTITUTE INC,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
METROPOLITAN COLLEGE OF COURT REPORTING,,,,PHOENIX,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
WESTERN INTERNATIONAL UNIVERSITY,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ARTISTIC BEAUTY SCHOOL,,,,GLENDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
YAVAPAI COLLEGE,,,,PRESCOTT,,AZ,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSITY OF ARKANSAS AT LITTLE ROCK,,,,LITTLE ROCK,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,,,,LITTLE ROCK,,AR,Public,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
ARKADELPHIA BEAUTY COLLEGE,,,,ARKADELPHIA,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
ARKANSAS BAPTIST COLLEGE,,,,LITTLE ROCK,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
ARKANSAS BEAUTY SCHOOL,,,,LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
LYON COLLEGE,,,,BATESVILLE,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
ARKANSAS COLLEGE OF BARBERING AND HAIR DESIGN,,,,N LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
ARKANSAS CONTINENTAL BEAUTY SCHOOL,,,,FT SMITH,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,,,,FAYETTEVILLE,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
UNIVERSITY OF ARKANSAS AT PINE BLUFF,,,,PINE BLUFF,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
ARKANSAS STATE UNIVERSITY-BEEBE BRANCH,,,,BEEBE,,AR,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARKANSAS STATE UNIVERSITY-MAIN CAMPUS,,,,STATE UNIVERSITY,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ARKANSAS TECH UNIVERSITY,,,,RUSSELLVILLE,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARKANSAS VALLEY TECHNICAL INSTITUTE,,,,OZARK,,AR,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF ARKANSAS AT MONTICELLO,,,,MONTICELLO,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ARTHURS BEAUTY COLLEGE,,,,JACKSONVILLE,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
BAPTIST SCHOOLS OF NURSING AND ALLIED HEALTH,,,,LITTLE ROCK,,AR,Private nonprofit,Not classified,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
BEE JAYS ACADEMY,,,,LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
BLACK RIVER TECHNICAL COLLEGE,,,,POCAHONTAS,,AR,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF CENTRAL ARKANSAS,,,,CONWAY,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CENTRAL BAPTIST COLLEGE,,,,CONWAY,,AR,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
COSSATOT TECHNICAL COLLEGE,,,,DE QUEEN,,AR,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
COTTON BOLL TECHNICAL INSTITUTE,,,,BURDETTE,,AR,Public,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CROWLEYS RIDGE COLLEGE,,,,PARAGOULD,,AR,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CROWLEYS RIDGE TECHNICAL INSTITUTE,,,,FORREST CITY,,AR,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
DE LUXE BEAUTY SCHOOL,,,,PINE BLUFF,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
DELTA TECHNICAL INSTITUTE,,,,MARKED TREE,,AR,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
EAST ARKANSAS COMMUNITY COLLEGE,,,,FORREST CITY,,AR,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
EASTERN COLLEGE OF HEALTH VOCATIONS,,,,LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
EATON BEAUTY STYLIST COLLEGE INC,,,,LITTLE ROCK,,AR,Private for-profit,Not classified,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FOOTHILLS TECHNICAL INSTITUTE,,,,SEARCY,,AR,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
FOREST ECHOES TECHNICAL INSTITUTE,,,,CROSSETT,,AR,Public,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
GARLAND COUNTY COMMUNITY COLLEGE,,,,HOT SPRINGS,,AR,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GATEWAY TECHNICAL COLLEGE,,,,BATESVILLE,,AR,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
GREAT RIVERS VOCATIONAL TECHNICAL SCHOOL,,,,MCGEHEE,,AR,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
HARDING UNIVERSITY GRADUATE SCHOOL OF RELIGION,,,,MEMPHIS,,TN,Private nonprofit,Entirely graduate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
HARDING UNIVERSITY,,,,SEARCY,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HARRISON SCHOOL OF COSMETOLOGY,,,,HARRISON,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
HENDERSON STATE UNIVERSITY,,,,ARKADELPHIA,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
HENDRIX COLLEGE,,,,CONWAY,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HOT SPRINGS BEAUTY COLLEGE,,,,HOT SPRINGS,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
JEFFERSON SCHOOL OF NURSING,,,,PINE BLUFF,,AR,Private nonprofit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
JOHN BROWN UNIVERSITY,,,,SILOAM SPRINGS,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
LEES SCHOOL OF COSMETOLOGY,,,,N LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LEONS HAIR TRAINING ACADEMY,,,,SPRINGDALE,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
MARCEL-ROYALE BEAUTY ACADEMY,,,,ROGERS,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
MARSHA KAY BEAUTY COLLEGE,,,,MOUNTAIN HOME,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
MELLIES BEAUTY COLLEGE,,,,FT SMITH,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
MID-SOUTH COMMUNITY COLLEGE,,,,WEST MEMPHIS,,AR,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
MISSISSIPPI COUNTY COMMUNITY COLLEGE,,,,BLYTHEVILLE,,AR,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
MARGARETS HAIR ACADEMY,,,,MORRILTON,,AR,Private for-profit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
NEW TYLER BARBER COLLEGE INC,,,,N LITTLE ROCK,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
NORTH ARKANSAS COMMUNITY TECHNICAL COLLEGE,,,,HARRISON,,AR,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
NORTHWEST ARKANSAS COLLEGE OF COSMETOLOGY,,,,SILOAM SPRINGS,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHWEST TECHNICAL INSTITUTE,,,,SPRINGDALE,,AR,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
OUACHITA BAPTIST UNIVERSITY,,,,ARKADELPHIA,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
OUACHITA TECHNICAL COLLEGE,,,,MALVERN,,AR,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
OZARKA TECHNICAL COLLEGE,,,,MELBOURNE,,AR,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSITY OF THE OZARKS,,,,CLARKSVILLE,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
PETIT JEAN TECHNICAL COLLEGE,,,,MORRILTON,,AR,Public,Predominantly certificate-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
PHILANDER SMITH COLLEGE,,,,LITTLE ROCK,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF AR,,,,HELENA,,AR,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SOUTHEAST ARKANSAS TECHNICAL COLLEGE,,,,PINE BLUFF,,AR,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
PROFESSIONAL BEAUTY COLLEGE INC,,,,MONTICELLO,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
PROFESSIONAL COSMETOLOGY EDUCATION CENTER,,,,CAMDEN,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
PULASKI TECHNICAL COLLEGE,,,,NORTH LITTLE ROCK,,AR,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
QUAPAW TECHNICAL INSTITUTE,,,,HOT SPRINGS,,AR,Public,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,,,,HOPE,,AR,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
PHILLIPS COMMUNITY COLLEGE,,,,DEWITT,,AR,Public,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
RICH MOUNTAIN COMMUNITY COLLEGE,,,,MENA,,AR,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
FAYETTEVILLE BEAUTY COLLEGE,,,,FAYETTEVILLE,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
SEARCY BEAUTY COLLEGE INC,,,,SEARCY,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
SHORTER COLLEGE,,,,NORTH LITTLE ROCK,,AR,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
WILLIAMS BAPTIST COLLEGE,,,,WALNUT RIDGE,,AR,Private nonprofit,Predominantly bachelor's-degree granting,,,,,U.S. Service Schools
SOUTHERN INSTITUTE OF COSMETOLOGY,,,,WEST MEMPHIS,,AR,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SPARKS REGIONAL MEDICAL CENTER SCH OF RADIOGRAPHY,,,,FT SMITH,,AR,Private nonprofit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SOUTH ARKANSAS COMMUNITY COLLEGE,,,,EL DORADO,,AR,Public,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
SOUTHERN ARKANSAS UNIVERSITY MAIN CAMPUS,,,,MAGNOLIA,,AR,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
SOUTHERN ARKANSAS UNIVERSITY TECH,,,,CAMDEN,,AR,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
